Season,Sector,Category,Crop,QueryType,QueryText,KccAns,StateName,DistrictName,BlockName,CreatedOn
,HORTICULTURE,Plantation Crops,Coconut,"	Plant Protection	","Coconut which are 3 years trees,the small nuts are dropping from the trees.How it can be controlled?",Recommended to Apply Boron 20 gram to the basal portion of each tree.Compost manure application in large quantity is good..When applying this moisture should be there in the soil.,KARNATAKA,BELGAUM,RAMDURG,58:15.7
,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Weed Management,ASKED ABOUT WEED MANAGEMENT IN SUGARCANE,"SUGGESTED TO SPRAY ATRAZINE 1KG 50WP AND HAND WEEDING ,SOIL SOLARIZATION AND GROWN TRAP CROP MARIGOLD",KARNATAKA,BELGAUM,RAMDURG,29:25.5
,AGRICULTURE,Others,Others,Weather,Asked about weather report of  taluk athni,Cloudy weather condition.  High temperature 39ï¿½ï¿½C.  Winds W at 15 to 30 km/h. There is no occurrence rain fall next 3 days. for more information contact Varuna mitra helpline number 0806773,KARNATAKA,BELGAUM,ATHNI,30:13.0
,AGRICULTURE,Others,Others,Weather,Asked about weather report of  taluk,Cloudy weather condition.  High temperature 36ï¿½ï¿½C.  Winds W at 15 to 30 km/h. There is no occurrence rain fall next 3 days. for more information contact Varuna mitra helpline number 0806773,KARNATAKA,BELGAUM,ATHNI,48:08.6
,AGRICULTURE,Others,Others,Weather,Asked about weather report of  taluk,Cloudy weather condition.  High temperature 36ï¿½ï¿½C.  Winds W at 15 to 30 km/h. There is no occurrence rain fall next 3 days. for more information contact Varuna mitra helpline number 0806773,KARNATAKA,BELGAUM,HUKERI,06:43.9
,AGRICULTURE,Others,Others,Weather,Asked about Weather report of  Taluk,Cloudy37ï¿½ï¿½22ï¿½ï¿½0%W 25 ,KARNATAKA,BELGAUM,RAYBAG,25:09.8
,AGRICULTURE,Others,Others,Market Information,asked about market information of bengalgram,GADAGAverage(Whole)Average1108Quintal33424751HUBBALLIJawari/LocalAverage76Quintal32694601,KARNATAKA,BELGAUM,PARASGAD,42:58.0
,AGRICULTURE,Others,Others,Market Information,asked about market information of bengalgram,GADAGAverage(Whole)Average1108Quintal33424751HUBBALLIJawari/LocalAverage76Quintal32694601,KARNATAKA,BELGAUM,PARASGAD,43:05.5
,AGRICULTURE,Pulses,Moth Bean (kidney bean/ deww gram),Sowing Time and Weather,asked about varieties of field bean,"HA - 3 (variety) :Summer:Jan - March; Kharif:July - Aug:Late kharif:Aug - Sep:July - AugLate kharif:Aug - Sep: Seed yield  (3 - 4 kg/acre),Green pod 12 - 15 kg/acre",KARNATAKA,BELGAUM,BELGAUM,55:48.8
,AGRICULTURE,Others,Others,Market Information,Asked about Market rate,COMMODITY: RagiMarketVarietyGradeArrivalsUnitsMin (Rs.)Max (Rs.)Modal (Rs.)BENGALURUFineAverage324Quintal280032003000KOTTURHybridAverage1Quintal230323032303ARSIKERELocalAverage306Quintal229022902290DAVANAGERELocalAverage805Quintal180023502075HARAPANAHALLILocalFAQ212Quintal210021502136SIRALocalAverage21Quintal220029002800SHIVAMOGGARedAverage39Quintal300030003000,KARNATAKA,BELGAUM,BELGAUM,18:40.3
,HORTICULTURE,Vegetables,Bhindi(Okra/Ladysfinger),Nutrient Management,ASKED ABOUT NUTRIENT MANAGEMENT,Nutrient ManagementFarm yard manure (tons/acre)Chemical fertilizers (Kg/acre)NitrogenPhosphorousPotash10402020After the land is ready apply the entire dose of P and 50% K and mix them well. Apply 50% N 40 days after planting and the remaining 50% N and 50% K 60 to 70 days after planting.,KARNATAKA,BELGAUM,ATHNI,43:11.2
,AGRICULTURE,Others,Others,Weather,Asked about Taluk Weather report,Rather cloudy; air quality will be unhealthy for sensitive groups,KARNATAKA,BELGAUM,HUKERI,26:11.0
,AGRICULTURE,Others,Others,Weather,Asked about weather report of  taluk Raybagh,Cloudy--22ï¿½ï¿½0%W 24 km/h53%UV INDEXSUNRISESUNSETMOONRISEMOONSET0 of 1006:0618:5003:4915:56Cloudy. Low 22ï¿½ï¿½C. Winds W at 15 to ,KARNATAKA,BELGAUM,RAYBAG,37:16.9
,AGRICULTURE,Others,Others,Weather,Asked about weather report,"Athani, Karnataka 10 Day Weather15:42 IST15:42 ISTPrintDAYDESCRIPTIONHIGH / LOWPRECIPWINDHUMIDITYTONIGHT1 MAYCloudy--23ï¿½ï¿½0%W 25 km/h45%THU2 MAYAM Clouds / PM Sun39ï¿½ï¿½21ï¿½ï¿½0%W 24 km/h35%FRI3 MAYAM Clouds / PM Sun38ï¿½ï¿½21ï¿½ï¿½0%W 24 km/h35%SAT4 MAYMostly Cloudy37ï¿½ï¿½22ï¿½ï¿½10%W 20 km/h41%SUN5 MAYPartly Cloudy38ï¿½ï¿½23ï¿½ï¿½0%W 14 km/h40%MON6 M",KARNATAKA,BELGAUM,ATHNI,43:10.5
,AGRICULTURE,Others,Others,Weather,Asked about Weather report,"DAY37ï¿½ï¿½HIRealFeelï¿½ï¿½ 37ï¿½ï¿½Precipitation 1%Times of clouds and sun; very warm, low humidity; unhealthy air quality for sens",KARNATAKA,BELGAUM,CHIKODI,48:07.2
,AGRICULTURE,Others,Others,Weather,Asked about Weather report of  Taluk chikodi,Cloudy. Low 22ï¿½ï¿½C. Winds W at 15 to 30 km/h.precipitation 0% there is no chances of rainfall today FOR MORE INFORMATION CONTACT VARUNAMITRA 0806773,KARNATAKA,BELGAUM,CHIKODI,54:09.5
,HORTICULTURE,Condiments and Spices,Turmeric,Cultural Practices,Asked about cultural practices  in TURMERIC,IMMERSE THE SOWING MATERIAL TO CUPPER OXYCHLORIDE 3 G PER LITER,KARNATAKA,BELGAUM,RAYBAG,35:21.7
,HORTICULTURE,Condiments and Spices,Turmeric,Cultural Practices,Asked about cultural practices  in TURMERIC,IMMERSE THE SOWING MATERIAL TO CUPPER OXYCHLORIDE 3 G PER LITER,KARNATAKA,BELGAUM,RAYBAG,35:21.8
,HORTICULTURE,Condiments and Spices,Turmeric,Cultural Practices,ASKED ABOUT TURMERIC SOWING,IMMERSE THE SOWING MATERIAL TO CUPPER OXYCHLORIDE 3 G PER LITER,KARNATAKA,BELGAUM,RAYBAG,36:14.7
,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Fertilizer Use and Availability,Asked about Nutrient management,Fertilizer managementFollow the same fertilizers as suggested for the main crop.Apply 30% nitrogen and entire phosphorous and potash fertilizers at 30 days after harvesting of rotoon crop.Apply 35% nitrogen at 60 days and remaining 35% nitrogen fertilizer @ 90 days for rotoon crop.Apply the nitrogen in ploughed rows on either side of ridges and furrows or surrounding rotoon seedlings at 4 - 5'' depth and cover with soil.,KARNATAKA,BELGAUM,HUKERI,31:08.3
,HORTICULTURE,Fruits,Pomegranate,"	Plant Protection	",Asked for borer infestation,DDVP 0.5ml per lit of water,KARNATAKA,BELGAUM,ATHNI,27:37.3
,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Nutrient Management,Asked about Nutrient management,Fertilizer managementFollow the same fertilizers as suggested for the main crop.Apply 30% nitrogen and entire phosphorous and potash fertilizers at 30 days after harvesting of rotoon crop.Apply 35% nitrogen at 60 days and remaining 35% nitrogen fertilizer @ 90 days for rotoon crop.Apply the nitrogen in ploughed rows on either side of ridges and furrows or surrounding rotoon seedlings at 4 - 5'' depth and cover with soil.,KARNATAKA,BELGAUM,GOKAK,00:15.9
,AGRICULTURE,Others,Others,Weather,Asked about  Weather report,Rather cloudy; air quality will be unhealthy for sensitive groups,KARNATAKA,BELGAUM,ATHNI,29:57.7
,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Fertilizer Use and Availability,Asked about Nutrient management insugarcane,Recommended to Fertilizer managementFollow the same fertilizers as suggested for the main crop.Apply 30% nitrogen and entire phosphorous and potash fertilizers at 30 days after harvesting of rotoon crop.Apply 35% nitrogen at 60 days and remaining 35% nitrogen fertilizer @ 90 days for rotoon crop.Apply the nitrogen in ploughed rows on either side of ridges and furrows or surrounding rotoon seedlings at 4 - 5'' depth and cover with soil.,KARNATAKA,BELGAUM,GOKAK,51:34.5
,AGRICULTURE,Others,,Weather,Asked about weather report of  taluk Belgum,01 May035.8  / 23.40.0  / 87.011.102 May039.0  / 24.023.0  / 012.003 May039.0  / 22.019.0  / 016.004 May037.0  / 22.016.0  / 015.005 May037.0  / 22.022.0  / 015.006 May037.0  / 23.022.0  / 010.0,KARNATAKA,BELGAUM,BELGAUM,06:48.8
,HORTICULTURE,Condiments and Spices,Ginger,"	Plant Protection	",Asked about cultural practices in  ginger,"???????, ??????, ?????, ???????, ????, ?????.?????? ??????????, ??????, ?????, ???????, ??????, ???????????, ?????? ???????, ????????????, ???????, ??????.???????, ??, ???????? 9 - 15 ???, ??? 3 ???? ?????????, 1 ??? ????????? ???? ????????600 ??. ?????????? ?????? 15 - 20 ??? ??? ?????",KARNATAKA,BELGAUM,BELGAUM,26:38.4
,AGRICULTURE,Others,Others,Weather,Asked about weather report of Chikodi taluk,Partly to mostly cloudy. High 97F. Winds WSW at 10 to 20 mph.,KARNATAKA,BELGAUM,CHIKODI,20:22.1
,AGRICULTURE,Others,Others,Market Information,asked about market information,Belgaum:-0831-2478927APMC -18004251552,KARNATAKA,BELGAUM,BELGAUM,43:06.5
,HORTICULTURE,Vegetables,Chillies,"	Plant Protection	",asked about plant protection of chilli,recommended to sprey planofix 2ml in 10 litre of water,KARNATAKA,BELGAUM,KHANAPUR,13:14.5
,AGRICULTURE,Others,Others,Weather,Asked about weather report of raybag taluk.,Precipitation 0% there is no rain fall next 3 days Further more details please kindly contact varuna mitra helpline number 08067735999,KARNATAKA,BELGAUM,RAYBAG,42:39.8
,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),"	Plant Protection	",asked about control measure for root grubs in sugarcane,"Recommended to Incorporate 5 kg. Phorate 10 G/acre to the soil when soil moisture in optimum condition.If planted crop with severe infestation with root grubs, discourage ratooning.If the crop is infested and harvested in the month of September, if water available puddle the soil.If water available in root grubs infested areas mix 0.4 ml.Chlorpyriphos 20 EC. /m2 through irrigation water.",KARNATAKA,BELGAUM,BELGAUM,07:39.3
,AGRICULTURE,Others,Others,Weather,Asked about Weather report of  Taluk ATHNI,Partly cloudy. Hot. High 39ï¿½ï¿½C. Winds W at 15 to 30 km/h.precipitation 0% there is no chances of rainfall today For more information contactVARUNAMITRA 0806773,KARNATAKA,BELGAUM,ATHNI,13:38.8
,AGRICULTURE,Others,Others,Weather,asked about weather report of Taluk,Precipitation 1%Rather cloudy; air quality will be unhealthy for sensitive groups,KARNATAKA,BELGAUM,ATHNI,20:04.5
,AGRICULTURE,Others,Others,Weather,Asked about weather report,DAYDESCRIPTIONHIGH / LOWPRECIPWINDHUMIDITYTODAY2 MAYCloudy36ï¿½ï¿½21ï¿½ï¿½0%W 23 km/h29%FRI3 MAYCloudy36ï¿½ï¿½20ï¿½ï¿½10%W 23 km/h48%SAT4 MAYCloudy35ï¿½ï¿½21ï¿½ï¿½10%W 21 km/h47%SUN5 MAYMostly Sunny36ï¿½ï¿½22ï¿½ï¿½10%W 18 km/h48%MON6 MAYMostl,KARNATAKA,BELGAUM,ATHNI,52:29.6
,AGRICULTURE,Others,Others,Weather,Asked about  Weather report,DAY36ï¿½ï¿½HIRealFeelï¿½ï¿½ 37ï¿½ï¿½Precipitation 0%Times of clouds and sun; hot; air quality will be unhealthy for sens,KARNATAKA,BELGAUM,RAMDURG,24:55.9
,AGRICULTURE,Others,Others,Weather,Asked about  Weather report,DAY36ï¿½ï¿½HIRealFeelï¿½ï¿½ 37ï¿½ï¿½Precipitation 0%Times of clouds and sun; hot; air quality will be unhealthy for sens,KARNATAKA,BELGAUM,RAYBAG,29:40.2
,AGRICULTURE,Others,Others,Weather,Asked about weather report of  taluk athini,02 May033.7  / 0.059.0  / 0.018.503 May039.0  / 22.019.0  / 016.004 May038.0  / 22.019.0  / 015.005 May036.0  / 23.024.0  / 015.006 May037.0  / 24.024.0  / 012.007 May037.0  / 24.022.0  / 09.0,KARNATAKA,BELGAUM,ATHNI,48:56.8
,AGRICULTURE,Others,Others,Weather,Asked about Weather report of  Taluk,"There is no chance of  rain today. For accurate weather forecast information, please contact weather helplines. Varunamitra: 9243345433, 1800220161, 08022211118, 08022235675.",KARNATAKA,BELGAUM,ATHNI,51:49.6
,HORTICULTURE,Vegetables,Ridge Gourd,"	Plant Protection	",Asked about plant protection,Spray 2.0 ml. Malathion 50 EC. in a lit.water. 200 to 250 lit. spray solution required/acre.,KARNATAKA,BELGAUM,HUKERI,05:00.8
,AGRICULTURE,Others,Others,Weather,Asked about Weather report of  Taluk,"There is no chance of  rain today. For accurate weather forecast information, please contact weather helplines. Varunamitra: 9243345433, 1800220161, 08022211118, 08022235675.",KARNATAKA,BELGAUM,HUKERI,51:16.9
,AGRICULTURE,Others,Others,Weather,Asked about  Weather report,Times of clouds and sun; air quality will be unhealthy for sensitive groups,KARNATAKA,BELGAUM,BYLAHONGAL,52:36.4
,AGRICULTURE,Others,Others,Weather,Asked about weather report of taluk ramdurga,Precipitation 0%Hazy sun; air quality will be unhealthy for sensitive groups,KARNATAKA,BELGAUM,RAMDURG,29:32.0
,HORTICULTURE,Vegetables,Brinjal,Cultural Practices,ASKED ABOUT FRUIT AND FLOWER SETTING IN BRINJAL,Recommended to spray PLANOFIX @ 1 ml/4 litre of water to prevent flower drop and fruit/seed setting.,KARNATAKA,BELGAUM,ATHNI,39:33.1
,AGRICULTURE,Oilseeds,Sunflower (suryamukhi),Nutrient Management,asked about nutrient management of sunflower,Recommended to apply DAP and potash @ 30 kg and 20kg respectively,KARNATAKA,BELGAUM,ATHNI,46:57.3
,AGRICULTURE,Others,Others,Weather,Asked about  Weather report,Times of clouds and sun; air quality will be unhealthy for sensitive groups,KARNATAKA,BELGAUM,CHIKODI,16:23.0
,AGRICULTURE,Others,Others,Weather,Asked about Weather report of Taluk   Chikodi,"Cloudy weather,precipitation 0% and there is no chances of occurrence of rain. For accurate weather  information, please contact weather helplines. Varunamitra-  08067735999",KARNATAKA,BELGAUM,CHIKODI,25:06.8
,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Nutrient Management,Asked about Nutrient management,Fertilizer managementFollow the same fertilizers as suggested for the main crop.Apply 30% nitrogen and entire phosphorous and potash fertilizers at 30 days after harvesting of rotoon crop.Apply 35% nitrogen at 60 days and remaining 35% nitrogen fertilizer @ 90 days for rotoon crop.Apply the nitrogen in ploughed rows on either side of ridges and furrows or surrounding rotoon seedlings at 4 - 5'' depth and cover with soil.,KARNATAKA,BELGAUM,GOKAK,25:52.7
,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Nutrient Management,Asked about Nutrient management in SUGARCANE,Recommended to spray MULTIMAX -Dissolve @ 3g per litre of water and spray on both sides of leaf. Two sprays are recommended. For fertigation: 2 ï¿½ï¿½ï¿½ 3 kg pe,KARNATAKA,BELGAUM,GOKAK,32:55.7
,AGRICULTURE,Others,Others,Market Information,Asked about market rate of  arecanut,COMMODITY: ArecanutMarketVarietyGradeArrivalsUnitsMin (Rs.)Max (Rs.)Modal (Rs.)SHIVAMOGGARashiAverage575Quintal306003639936039,KARNATAKA,BELGAUM,CHIKODI,34:44.3
,HORTICULTURE,Vegetables,Tomato,"	Plant Protection	",Asked about  control of serpentine leaf miner in tomato.,Recommended to spray:-Triazophos 40% EC @ 2ml/lit of water.,KARNATAKA,BELGAUM,GOKAK,57:46.9
,AGRICULTURE,Vegetables,Chillies,Market Information,Asked about General information,Krishi Marata vahini  Number1800 425 1552,KARNATAKA,BELGAUM,BELGAUM,26:40.4
,AGRICULTURE,,,Weather,CALL DISCONNECTED,CALL DISCONNECTED,KARNATAKA,BELGAUM,CHIKODI,08:16.4
,AGRICULTURE,Others,Others,Soil Testing,CALL DISCONNECTED,CALL DISCONNECTED,KARNATAKA,BELGAUM,BELGAUM,49:50.1
,AGRICULTURE,Others,,Weather,Asked about Weather report of Taluk,"Cloudy weather,precipitation 0% and there is no chances of occurrence of rain. For accurate weather  information, please contact weather helplines. Varunamitra-  08067735999",KARNATAKA,BELGAUM,CHIKODI,43:40.9
,HORTICULTURE,Vegetables,Bottle Gourd ,Vegetative Propagation and Tissue Culture,"Varietal descriptionVarietiesSowing timeSpacing (feet)Seeds (g/acre)Yield (tons/acre)Pusa Summer prolific long,Arka Bahar,Pusa Hybrid - 3June - July and October -November9 feet rows and 3 feet apart basins1.812Special characters","Varietal descriptionVarietiesSowing timeSpacing (feet)Seeds (g/acre)Yield (tons/acre)Pusa Summer prolific long,Arka Bahar,Pusa Hybrid - 3June - July and October -November9 feet rows and 3 feet apart basins1.812Special characters",KARNATAKA,BELGAUM,BELGAUM,06:07.5
,AGRICULTURE,Others,Others,Weather,Asked about weather report of Taluk,Partly cloudy. Hot. Low 21ï¿½ï¿½C. Winds W at 15 to 30 km/h.WINDW 25 km/h gusts to 26 km/hHUMIDITY42%UV INDEX0 of 10SUN06:0018:47WEATHER ,KARNATAKA,BELGAUM,CHIKODI,12:04.0
,AGRICULTURE,Others,Others,Market Information,Asked about Market Price of,rage62Quintal520060005600COMMODITY: BengalgramMarketVarietyGradeArrivalsUnitsMin (Rs.)Max (Rs.)Modal (Rs.)BAGALKOTAverage(Whole)Medium79Quintal411946464394BALLARIAverage(Whole)Average21Quintal370946794358BASAVAKALYANAAverage(Whole)Average41Quintal380043504100BENGALURUAverage(Whole)Average461Quintal500056005300BIDARAverage(Whole)Average855Quintal300043634196GADAGAverage(Whole)Average1291Quintal330947314558HOLENARASIPURAverage(Whole)Average2Quintal460046004600MUNDARGIAverage(Whole)Average12Quintal280045114165VIJAYAPURAAverage(Whole)Average350Quintal420044004300YADGIRAverage(Whole)Average50Quintal420045504515BIDARJawari/LocalAverage10Quintal500054115100HUBBALLIJawari/LocalAverage131Quintal350046184001LAXMESHWARJawari/LocalAverage10Quintal327045864280RAICHURJawari/LocalAverage443Quintal380046614661,KARNATAKA,BELGAUM,PARASGAD,29:23.6
,AGRICULTURE,Others,Others,Market Information,Asked about Market Price of Ragi,BENGALURUFineAverage330Quintal280032003000DODDABALLAPURLocalAverage482Quintal219022702230,KARNATAKA,BELGAUM,BELGAUM,29:55.4
,HORTICULTURE,Vegetables,Brinjal,"	Plant Protection	",Asked about Plant Protection in,At the time of transplanting incorporate 250 kg. Neem cake to soil. If infestation noticed spray 2.0 ml. Malathion 50 EC./lit.water.,KARNATAKA,BELGAUM,BYLAHONGAL,14:01.1
,AGRICULTURE,Others,Others,Weather,Asked about weather report of taluk Athini,03 May033.6  / 19.40.0  / 83.014.804 May037.0  / 22.021.0  / 015.005 May036.0  / 22.024.0  / 015.006 May036.0  / 24.027.0  / 011.007 May037.0  / 24.022.0  / 012.008 May036.0  / 23.023.0  / 013.0,KARNATAKA,BELGAUM,ATHNI,02:16.5
,HORTICULTURE,Vegetables,Pumpkin,Cultural Practices,Asked about cultural practices in  PUMPKIN,"Arka Suryamuki, Arka Chandan, Co - 1, 2 and AmbaliJune - JulyJanuary - February6 - 9  feet rows 3 feet space basins, plant 3 - 5 seeds per basin.800 - 160012Special charactersArka Suryamuki:This is an early variety, duration of the crop is 100 days.Fruits are orange with white stripes.Fruits weigh about 1.5 kg and have excellent keeping quality.",KARNATAKA,BELGAUM,BELGAUM,38:20.5
,AGRICULTURE,Others,Others,Weather,Asked about weather report,Cloudy. Low 20ï¿½ï¿½C. Winds WSW at 15 to 30 km/h.WINDWSW 21 km/h gusts to 29 km/hHUMIDITY74%UV INDEX0 of 10SUN06:041,KARNATAKA,BELGAUM,GOKAK,45:29.6
,AGRICULTURE,Fiber Crops,Cotton (Kapas),Cultural Practices,Asked about cultural practices in,"D. C. H. - 32Hybrid variety suitable for zone 4 & 7 and having lengthy leavesMay-June1907 - 8 black cotton soils, 5 - 6 sandy loam soilsVaralakshmiHybrid variety suitable for zone 4 & 7 and having lengthy leavesJune1907 - 8 black cotton soils, 5 - 6 sandy loam soilsSwajathi Shaktiman hybrids N.H.H - 44Suitable for zone 4, re-flowering and budding complianceMay-July1607 - 8 black cotton soils,5 - 6 sandy loam soilsD.H.H - 11Suitable for zone 4 , bigger bolls and well break, high cottonwood utara, re-flower complianceMay-July1607 - 8 black cotton soils, 5 - 6 sandy loam soils",KARNATAKA,BELGAUM,PARASGAD,49:15.0
,AGRICULTURE,Others,Others,Weather,Asked about weather report of chikodi taluk.,Precipitation 0% there is no rain fall next 3 days Further more details please kindly contact varuna mitra helpline number 08067735999,KARNATAKA,BELGAUM,CHIKODI,27:45.2
,AGRICULTURE,Others,Others,Weather,BLANK CALL,BLANK CALL,KARNATAKA,BELGAUM,CHIKODI,02:42.1
,AGRICULTURE,Others,Others,Government Schemes,ASKED ABOUT KISAN CREDIT CARD DETAILS,GIVEN PRIMARY INFORMATION AND TO CONTACT NEAREST BANK BRANCH,KARNATAKA,BELGAUM,GOKAK,14:48.7
,AGRICULTURE,Others,Others,Weather,CALL DISCONNECTED,CALL DISCONNECTED,KARNATAKA,BELGAUM,GOKAK,15:10.7
,HORTICULTURE,Vegetables,Chillies,"	Plant Protection	",Asked about disease management in chilli,Recommended to spray Imidacloprid 17.8 SL.- 0.5 ml per lit. water,KARNATAKA,BELGAUM,ATHNI,35:17.2
,AGRICULTURE,Others,Others,Weather,Asked about Plant Protection in pomagranate,Recommended to spray benevia 0.3ml per ltr of water,KARNATAKA,BELGAUM,GOKAK,37:22.2
,AGRICULTURE,Others,Others,Weather,Asked about arkalgud taluk Weather report,Cloudy. High 32ï¿½ï¿½C. Winds W at 15 to 25 k,KARNATAKA,BELGAUM,RAYBAG,45:27.3
,HORTICULTURE,Condiments and Spices,Coriander,"	Plant Protection	",Asked about  pest management in coriander.,Recommended to spray:- Neem oil @ 2ml/lit of water.,KARNATAKA,BELGAUM,RAYBAG,49:17.6
,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Nutrient Management,Asked about Nutrient management in,Recommended to Apply  DAP 50KGS/ACRE,KARNATAKA,BELGAUM,CHIKODI,50:03.8
,HORTICULTURE,Vegetables,Brinjal,"	Plant Protection	",Asked about Plant Protection,"Shoot and fruit borer Caterpillars bore the shoots in abscence of fruits, drooping of such shoots, oozing of excretory pellets from the hole. they also bore the fruits oozing of excretory material from the infested fruits..At the time of transplanting incorporate 250 kg. Neem cake to soil. If infestation noticed spray 2.0 ml. Malathion 50 EC./lit.water.",KARNATAKA,BELGAUM,KHANAPUR,04:08.0
,HORTICULTURE,Vegetables,Cabbage,Nutrient Management,Asked about Nutrient management in cabbage,suggested to give urea 20 kg and magnesium sulphate 5 kg per acre of land,KARNATAKA,BELGAUM,CHIKODI,25:20.2
,AGRICULTURE,Others,Others,Training and Exposure Visits,asked about horticulture help line,IIHR hesraghatta help line: 080-28446815,KARNATAKA,BELGAUM,BELGAUM,35:34.0
,AGRICULTURE,Others,Others,Weather,Asked about Weather report of  Taluk athani,Partly cloudy. Hot. High 37ï¿½ï¿½C. Winds W at 15 to 25 ,KARNATAKA,BELGAUM,ATHNI,51:57.8
,HORTICULTURE,Vegetables,,"	Plant Protection	",Asked about  pest management in coriander,Recommended to dust COC 2-3 gram,KARNATAKA,BELGAUM,RAYBAG,35:28.9
,AGRICULTURE,Others,Others,Weather,Asked about hukeri taluk  Weather report,Partly cloudy. Low 20ï¿½ï¿½C. Winds W at 15 to 25 k,KARNATAKA,BELGAUM,HUKERI,47:34.2
,AGRICULTURE,Others,Others,Weather,Asked about weather report of taluk,No rain today,KARNATAKA,BELGAUM,ATHNI,27:26.4
,HORTICULTURE,Vegetables,Chillies,Cultural Practices,As for plant improvement,Planofix 4ml per 20 ml per lit of water,KARNATAKA,BELGAUM,RAMDURG,46:56.6
,HORTICULTURE,Fruits,Mango,Cultural Practices,ASKED ABOUT MANGO NUTRIENT MANAGEMENT,Nutrient ManagementFarm yard manure/Compost (grams/plant/year)Before planting - 25Every year before the application of Chemical fertilizers - 25Chemical fertilizers (g.per plant): Nitrogen: Phosphorus: PotassiumFirst year - N : P : K - 75: 20: 702nd to 9th year - N : P : K -  (75: 20: 70 x years)10th year after - N : P : K - 730: 180: 680Note: Apply 50% N and the entire P and K to the soil during June-July. Give the remaining 50% N in the form of top dress. Manuring may be done in split doses during the first year.,KARNATAKA,BELGAUM,BYLAHONGAL,00:22.9
,HORTICULTURE,Fruits,Banana,Cultural Practices,Asked about Weed management of,Weed Control    Weeds can be manage in banana orchard with mulching.        Weedicide for banana orchard are as follows: WeedsWeedicideQuantityMonocot /DicotParaqot (Post)5.0 ml./lt.waterDiuron (Pre)8.0 (Kg./ac)Oxyflourfin (Pre)0.4 (Kg./ac)Glyphosate (Post)10.0 ml./lt. waterPre = Pre emergent  Post = Post emergent,KARNATAKA,BELGAUM,CHIKODI,29:14.8
,HORTICULTURE,Vegetables,Chillies,"	Plant Protection	",Asked about Plant Protection in Chilli Damping off Management.,Recommended to Spray Treat the seeds with 2.0 g. Thiram 75 WS for kg. seeds.3.0 g. Captan/lit. water .,KARNATAKA,BELGAUM,KHANAPUR,34:09.9
,HORTICULTURE,Vegetables,Chillies,"	Plant Protection	",Asked about Plant Protection in Chilli Fruit borer Management.,Recommended to spray Triazophos 40%EC 2 ml In a liter of water.,KARNATAKA,BELGAUM,BYLAHONGAL,39:16.8
